Predicted : 13869.58615      Actual : 12925.88600    
Predicted : 3329.23294       Actual : 5116.50040     
Predicted : 14308.76244      Actual : 11362.75500    
Predicted : 10799.94064      Actual : 12957.11800    
Predicted : 9947.97436       Actual : 8027.96800     
Predicted : 28101.38368      Actual : 34472.84100    
Predicted : 13804.91504      Actual : 11552.90400    
Predicted : 15430.30618      Actual : 28287.89766    
Predicted : 12042.54085      Actual : 8124.40840     
Predicted : 30679.90517      Actual : 39722.74620    
Predicted : 10671.60270      Actual : 6196.44800     
Predicted : 4546.12710       Actual : 2136.88225     
Predicted : 6950.31520       Actual : 5152.13400     
Predicted : 7956.33844       Actual : 5594.84550     
Predicted : 4145.09362       Actual : 2866.09100     
Predicted : 11425.35214      Actual : 9620.33070     
Predicted : 6343.92841       Actual : 6652.52880     
Predicted : 7580.99354       Actual : 4504.66240     
Predicted : 29218.20494      Actual : 19933.45800    
Predicted : 6039.78524       Actual : 1984.45330     
Predicted : 10158.86275      Actual : 8988.15875     
Predicted : 4634.22924       Actual : 4137.52270     
Predicted : 11622.32143      Actual : 9724.53000     
Predicted : 777.18398        Actual : 1737.37600     
Predicted : 6979.07060       Actual : 5028.14660     
Predicted : 14029.80876      Actual : 11299.34300    
Predicted : 13770.29808      Actual : 12557.60530    
Predicted : 32251.40787      Actual : 38746.35510    
Predicted : 15038.74722      Actual : 11365.95200    
Predicted : 12057.40670      Actual : 7152.67140     
Predicted : 12097.85321      Actual : 12629.16560    
Predicted : 5624.72808       Actual : 4618.07990     
Predicted : 6566.63419       Actual : 3443.06400     
Predicted : 30395.76751      Actual : 35069.37452    
Predicted : 1929.88266       Actual : 3206.49135     
Predicted : 14309.79539      Actual : 26467.09737    
Predicted : 3203.22669       Actual : 2207.69745     
Predicted : 7771.98707       Actual : 7046.72220     
Predicted : 14286.58381      Actual : 13607.36875    
Predicted : 10729.42879      Actual : 20878.78443    
Predicted : 24443.65932      Actual : 26125.67477    
Predicted : 6304.13082       Actual : 5415.66120     
Predicted : 2046.72272       Actual : 1253.93600     
Predicted : 5791.86199       Actual : 1759.33800     
Predicted : 25944.98382      Actual : 16115.30450    
Predicted : 9691.16975       Actual : 9447.38240     
Predicted : 30566.73539      Actual : 20984.09360    
Predicted : 7698.20553       Actual : 5425.02335     
Predicted : 2831.42758       Actual : 3279.86855     
Predicted : 5625.37700       Actual : 6117.49450     
Predicted : 2328.92683       Actual : 2483.73600     
Predicted : 11232.71258      Actual : 23045.56616    
Predicted : 13741.45647      Actual : 11946.62590    
Predicted : 29897.92297      Actual : 19594.80965    
Predicted : 29946.47829      Actual : 37133.89820    
Predicted : 1320.72440       Actual : 2709.11190     
Predicted : 15372.00114      Actual : 11856.41150    
Predicted : 2413.53110       Actual : 1972.95000     
Predicted : 25601.75022      Actual : 17748.50620    
Predicted : 1048.54789       Actual : 1632.56445     
Predicted : 1652.39139       Actual : 2221.56445     
Predicted : 12721.86858      Actual : 10115.00885    
Predicted : 7717.43940       Actual : 5373.36425     
Predicted : 9871.39092       Actual : 9301.89355     
Predicted : 30116.86174      Actual : 19361.99880    
Predicted : 6936.16701       Actual : 4349.46200     
Predicted : 34307.87858      Actual : 40182.24600    
Predicted : 6501.31170       Actual : 3268.84665     
Predicted : 35978.39080      Actual : 28101.33305    
Predicted : 12634.41537      Actual : 9872.70100     
Predicted : 31295.81172      Actual : 21659.93010    
Predicted : 4829.82320       Actual : 14133.03775    
Predicted : 5466.50351       Actual : 3972.92470     
Predicted : 7340.97535       Actual : 4751.07000     
Predicted : 35233.93382      Actual : 42983.45850    
Predicted : 3773.65860       Actual : 1391.52870     
Predicted : -1158.86259      Actual : 1728.89700     
Predicted : 28292.80914      Actual : 36307.79830    
Predicted : 9409.70077       Actual : 9863.47180     
Predicted : 13091.31519      Actual : 11879.10405    
Predicted : 37277.52799      Actual : 45863.20500    
Predicted : 685.59183        Actual : 1711.02680     
Predicted : 6788.90804       Actual : 3366.66970     
Predicted : 28807.43048      Actual : 34672.14720    
Predicted : 781.53363        Actual : 1964.78000     
Predicted : 15221.96981      Actual : 12741.16745    
Predicted : 3668.92165       Actual : 1880.07000     
Predicted : 2931.82361       Actual : 4134.08245     
Predicted : 30072.80071      Actual : 35491.64000    
Predicted : 11647.85507      Actual : 12815.44495    
Predicted : 5109.12172       Actual : 1633.04440     
Predicted : 26747.50893      Actual : 36898.73308    
Predicted : 6425.62708       Actual : 4260.74400     
Predicted : 11475.77049      Actual : 9414.92000     
Predicted : 6966.47016       Actual : 7147.10500     
Predicted : 3640.04086       Actual : 4719.52405     
Predicted : 5721.99818       Actual : 4357.04365     
Predicted : 11640.91510      Actual : 27346.04207    
Predicted : 9249.82389       Actual : 5699.83750     
Predicted : 13998.17486      Actual : 11945.13270    
Predicted : 2967.68266       Actual : 3561.88890     
Predicted : 3258.76901       Actual : 1135.94070     
Predicted : 7540.01052       Actual : 4449.46200     
Predicted : 34499.94512      Actual : 44501.39820    
Predicted : 9856.69838       Actual : 5989.52365     
Predicted : 12559.50506      Actual : 10600.54830    
Predicted : 7659.98525       Actual : 6414.17800     
Predicted : 31059.95329      Actual : 37607.52770    
Predicted : 10077.66141      Actual : 11830.60720    
Predicted : 29244.87610      Actual : 19040.87600    
Predicted : 14080.87692      Actual : 9875.68040     
Predicted : 1772.18497       Actual : 1635.73365     
Predicted : 15209.67591      Actual : 14119.62000    
Predicted : 12175.92863      Actual : 8556.90700     
Predicted : 9968.38403       Actual : 9861.02500     
Predicted : 13535.79661      Actual : 13352.09980    
Predicted : 6157.35081       Actual : 18157.87600    
Predicted : 9803.33525       Actual : 6986.69700     
Predicted : 10931.05427      Actual : 7445.91800     
Predicted : 800.66292        Actual : 11884.04858    
Predicted : 15786.41722      Actual : 13887.20400    
Predicted : 13483.56227      Actual : 11848.14100    
Predicted : 10870.38798      Actual : 7147.47280     
Predicted : 6886.02565       Actual : 4076.49700     
Predicted : 13647.27400      Actual : 11289.10925    
Predicted : 8941.41550       Actual : 7742.10980     
Predicted : 13863.64957      Actual : 13019.16105    
Predicted : 3326.14619       Actual : 2261.56880     
Predicted : 16643.71907      Actual : 14410.93210    
Predicted : 11059.72830      Actual : 12094.47800    
Predicted : 11402.01606      Actual : 10796.35025    
Predicted : 27111.59287      Actual : 18328.23810    
Predicted : 5737.54339       Actual : 1146.79660     
Predicted : 10192.17941      Actual : 6079.67150     
Predicted : 14125.88469      Actual : 10736.87075    
Predicted : 8028.20814       Actual : 7518.02535     
Predicted : 3875.81397       Actual : 3385.39915     
Predicted : 5368.74482       Actual : 7133.90250     
Predicted : 31652.11354      Actual : 21223.67580    
Predicted : 2648.89309       Actual : 1906.35825     
Predicted : 8652.13729       Actual : 5377.45780     
Predicted : 12821.45200      Actual : 11842.62375    
Predicted : 10622.00658      Actual : 11326.71487    
Predicted : 10629.34804      Actual : 7682.67000     
Predicted : 8860.60779       Actual : 4949.75870     
Predicted : 4641.29370       Actual : 6753.03800     
Predicted : 31822.14341      Actual : 21195.81800    
Predicted : 12182.28506      Actual : 11842.44200    
Predicted : 7871.32305       Actual : 6455.86265     
Predicted : 15504.93950      Actual : 20709.02034    
Predicted : 7076.46520       Actual : 7325.04820     
Predicted : 11012.11275      Actual : 4266.16580     
Predicted : 14245.51458      Actual : 13974.45555    
Predicted : 12676.76498      Actual : 10928.84900    
Predicted : 31032.11507      Actual : 37701.87680    
Predicted : 11448.40004      Actual : 11657.71890    
Predicted : 14355.28055      Actual : 10226.28420    
Predicted : 11074.97571      Actual : 12323.93600    
Predicted : 7912.36273       Actual : 7623.51800     
Predicted : 14316.55420      Actual : 9880.06800     
Predicted : 26668.74540      Actual : 16420.49455    
Predicted : 33054.40859      Actual : 23244.79020    
Predicted : 31437.64980      Actual : 37829.72420    
Predicted : 1134.19383       Actual : 2103.08000     
Predicted : 9830.27466       Actual : 5920.10410     
Predicted : 12399.33037      Actual : 11840.77505    
Predicted : 12679.48942      Actual : 20781.48892    
Predicted : 23808.88996      Actual : 14711.74380    
Predicted : 6951.95004       Actual : 4151.02870     
Predicted : 3363.50596       Actual : 1136.39940     
Predicted : 3780.73269       Actual : 2254.79670     
Predicted : 2646.57977       Actual : 1639.56310     
Predicted : 12724.18190      Actual : 10269.46000    
Predicted : -420.99112       Actual : 2585.26900     
Predicted : 36634.78482      Actual : 43921.18370    
Predicted : 6415.44453       Actual : 7222.78625     
Predicted : 1397.90011       Actual : 2457.50200     
Predicted : 16238.44296      Actual : 10977.20630    
Predicted : 8630.92375       Actual : 6186.12700     
Predicted : 11121.35969      Actual : 13012.20865    
Predicted : 10277.88201      Actual : 8116.68000     
Predicted : 10517.67986      Actual : 8413.46305     
Predicted : 2857.14326       Actual : 2156.75180     
Predicted : 19290.41198      Actual : 12592.53450    
Predicted : 1067.09364       Actual : 2731.91220     
Predicted : 14043.74623      Actual : 11944.59435    
Predicted : 2797.29831       Actual : 4544.23480     
Predicted : 7134.57947       Actual : 7985.81500     
Predicted : 40193.84294      Actual : 48675.51770    
Predicted : 9985.74524       Actual : 7639.41745     
Predicted : 1853.47163       Actual : 4005.42250     
Predicted : 1915.96354       Actual : 3176.81590     
Predicted : 10574.12974      Actual : 12475.35130    
Predicted : 12377.78319      Actual : 9630.39700     
Predicted : 8446.84064       Actual : 6185.32080     
Predicted : 5312.29495       Actual : 4040.55825     
Predicted : 13355.69995      Actual : 13937.66650    
Predicted : 6576.52767       Actual : 11737.84884    
Predicted : 13504.05814      Actual : 13457.96080    
Predicted : 14556.32250      Actual : 12235.83920    
Predicted : 4876.34041       Actual : 4340.44090     
Predicted : 12356.56091      Actual : 7740.33700     
Predicted : 11080.45414      Actual : 9910.35985     
Predicted : 9329.07511       Actual : 3989.84100     
Predicted : 10632.80761      Actual : 25517.11363    
Predicted : 5147.61811       Actual : 4237.12655     
Predicted : 11530.99753      Actual : 18806.14547    
Predicted : 9261.42005       Actual : 8059.67910     
Predicted : 9041.61201       Actual : 6600.36100     
Predicted : 11614.52968      Actual : 11743.29900    
Predicted : 38900.28001      Actual : 47055.53210    
Predicted : 11706.69662      Actual : 8023.13545     
Predicted : 39005.96369      Actual : 47896.79135    
Predicted : 2381.42943       Actual : 1815.87590     
Predicted : 3142.19631       Actual : 4906.40965     
Predicted : 9027.87494       Actual : 5630.45785     
Predicted : 8166.27047       Actual : 7624.63000     
Predicted : 7638.94501       Actual : 3500.61230     
Predicted : 39400.24710      Actual : 48517.56315    
Predicted : 29735.59863      Actual : 20009.63365    
Predicted : 4257.63106       Actual : 4185.09790     
Predicted : 12700.71169      Actual : 13041.92100    
Predicted : 14813.07918      Actual : 13224.05705    
Predicted : 10968.28864      Actual : 11931.12525    
Predicted : 8264.79385       Actual : 6393.60345     
Predicted : 10604.15678      Actual : 11454.02150    
Predicted : 640.34537        Actual : 2196.47320     
Predicted : 5119.45587       Actual : 2219.44510     
Predicted : 9284.46795       Actual : 8601.32930     
Predicted : 4492.57320       Actual : 3056.38810     
Predicted : 10204.97848      Actual : 11833.78230    
Predicted : 6118.31792       Actual : 4779.60230     
Predicted : 15960.97880      Actual : 13887.96850    
Predicted : 12256.27819      Actual : 9140.95100     
Predicted : 31316.58548      Actual : 55135.40209    
Predicted : 11348.00401      Actual : 9411.00500     
Predicted : 9871.43010       Actual : 6551.75010     
Predicted : 40132.48854      Actual : 48549.17835    
Predicted : 9277.92947       Actual : 7726.85400     
Predicted : 12730.99737      Actual : 11353.22760    
Predicted : 2238.37725       Actual : 21344.84670    
Predicted : 6646.17114       Actual : 3577.99900     
Predicted : 5045.72136       Actual : 4561.18850     
Predicted : 13845.00798      Actual : 14001.13380    
Predicted : 12264.84426      Actual : 7448.40395     
Predicted : 10164.30200      Actual : 10942.13205    
Predicted : 4080.74743       Actual : 2362.22905     
Predicted : 12300.43505      Actual : 9583.89330     
Predicted : 36013.20817      Actual : 43254.41795    
Predicted : 7.16292          Actual : 1704.70015     
Predicted : 3608.38860       Actual : 4428.88785     
Predicted : 2630.34734       Actual : 1622.18850     
Predicted : 8693.04284       Actual : 8026.66660     
Predicted : 6840.69209       Actual : 8627.54110     
Predicted : 14098.45758      Actual : 10381.47870    
Predicted : 15414.79141      Actual : 9800.88820     
Predicted : 5025.51121       Actual : 4435.09420     
Predicted : 13519.68868      Actual : 14382.70905    
Predicted : 35224.13440      Actual : 25382.29700    
Predicted : 7606.89911       Actual : 8302.53565     
Predicted : 3338.52541       Actual : 4718.20355     
Predicted : 16282.02503      Actual : 15612.19335    
Predicted : 10979.89443      Actual : 10594.50155    
Predicted : -721.23493       Actual : 1607.51010     
Predicted : 10322.12508      Actual : 7731.42710     
Predicted : 26768.36801      Actual : 35147.52848    
Predicted : 7646.34313       Actual : 7201.70085     
Predicted : 6107.84090       Actual : 3292.52985     
Total Test Set:  268
